"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120701 ~ 20120731"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","116.175","201207","16","11,000","9","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","201207","31","11,000","2","1997","경강로2539번길 8"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","201207","6","15,800","10","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","201207","10","14,500","13","2005","경강로2539번길 22"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","164.0098","201207","6","32,328","6","2009","화부산로99번길 12"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","135.1727","201207","17","25,395","5","2009","화부산로99번길 12"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","163.9852","201207","17","31,942","4","2009","화부산로99번길 12"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","135.1727","201207","30","25,395","4","2009","화부산로99번길 12"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","163.9852","201207","30","33,000","8","2009","화부산로99번길 12"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201207","9","12,520","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","49.85","201207","23","8,900","15","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","84.97","201207","11","15,000","1","1999","교동광장로 138-15"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","99.98","201207","28","21,900","9","1999","교동광장로 138-15"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201207","4","13,850","5","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.86","201207","17","13,300","7","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.79","201207","23","13,500","11","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201207","26","13,000","6","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","201207","26","13,400","6","2002","교동광장로 138-12"
"강원도 강릉시 교동","1429-1","1429","0001","민락","54.81","201207","19","6,650","3","1985","하슬라로10번길 7"
"강원도 강릉시 교동","1780","1780","0000","부영3차","84.93","201207","23","17,200","9","2001","하슬라로 124"
"강원도 강릉시 교동","1780","1780","0000","부영3차","84.93","201207","30","16,000","2","2001","하슬라로 124"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","201207","3","18,000","8","2001","교동광장로 163"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","201207","22","17,000","6","2001","교동광장로 163"
"강원도 강릉시 교동","1775","1775","0000","부영6","84.9763","201207","2","18,100","10","2003","정원로 53-9"
"강원도 강릉시 교동","348-6","0348","0006","서일2","27.75","201207","11","3,000","1","1987","수리골길17번길 35"
"강원도 강릉시 교동","46-1","0046","0001","한신","84.98","201207","31","11,250","2","1997","명륜로 95-7"
"강원도 강릉시 남문동","183-2","0183","0002","삼익그린맨션","127.311","201207","23","16,900","12","1992","홍제로 7-13"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.3","201207","2","2,500","1","1989","관대길16번길 6"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.69","201207","11","4,000","2","1989","관대길16번길 6"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.3","201207","28","3,500","1","1989","관대길16번길 6"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","201207","16","10,000","12","1997","강변로 114"
"강원도 강릉시 노암동","835","0835","0000","노암2주공","59.3","201207","10","3,700","2","1984","노가니남길 25"
