"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20070901 ~ 20070930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","200709","6","7,000","3","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","43.38","200709","7","4,400","10","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","200709","27","5,000","9","1997","경강로2539번길 8"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","200709","2","8,500","5","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","200709","12","9,500","15","2005","경강로2539번길 22"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","200709","1","13,000","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","200709","21","10,300","15","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200709","23","6,800","2","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","200709","29","12,800","11","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","84.97","200709","11","13,450","8","1999","교동광장로 138-15"
"강원도 강릉시 교동","1780","1780","0000","부영3차","84.93","200709","11","13,000","13","2001","하슬라로 124"
"강원도 강릉시 교동","1780","1780","0000","부영3차","84.93","200709","24","12,500","14","2001","하슬라로 124"
"강원도 강릉시 교동","1034","1034","0000","정아타워맨션","84.95","200709","3","7,000","6","1992","화부산로 29"
"강원도 강릉시 교동","828-19","0828","0019","현대","84.945","200709","6","7,600","15","1992","옛강일길 41"
