"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20100701 ~ 20100731"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","201007","1","2,600","1","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","201007","4","6,000","5","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","201007","7","6,050","4","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","201007","12","7,800","1","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","116.175","201007","12","10,000","5","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","201007","20","8,000","7","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","201007","21","7,000","5","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","39.08","201007","26","4,480","13","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","201007","27","8,550","15","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","201007","31","8,200","5","1997","경강로2539번길 8"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","201007","6","9,200","13","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","201007","7","14,400","10","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","201007","15","9,000","7","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","201007","19","8,740","6","2005","경강로2539번길 22"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","163.9852","201007","6","36,215","10","2009","화부산로99번길 12"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","135.1008","201007","7","27,903","13","2009","화부산로111번길 24"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","84.9855","201007","13","20,033","12","2009","화부산로111번길 24"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","135.1008","201007","29","27,903","7","2009","화부산로111번길 24"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201007","4","8,300","13","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","201007","7","12,500","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","201007","19","10,300","1","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","99.98","201007","30","15,300","2","1999","교동광장로 138-13"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201007","8","8,950","8","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.86","201007","15","9,000","12","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","201007","17","8,800","8","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201007","29","8,700","5","2002","교동광장로 138-12"
"강원도 강릉시 교동","18-16","0018","0016","교동대림","59.84","201007","1","6,500","18","1997","수리골길17번길 21"
"강원도 강릉시 교동","357","0357","0000","교동이-편한세상","84.7155","201007","6","15,500","3","2006","종합운동장길 92"
"강원도 강릉시 교동","1775","1775","0000","부영6","84.9763","201007","20","9,776","11","2003","정원로 53-9"
"강원도 강릉시 교동","1775","1775","0000","부영6","84.9763","201007","22","9,776","7","2003","정원로 53-9"
"강원도 강릉시 교동","334","0334","0000","서일맨션","84.81","201007","4","7,399","1","1989","화부산로141번길 48"
"강원도 강릉시 교동","334","0334","0000","서일맨션","53.04","201007","27","3,700","3","1989","화부산로141번길 48"
"강원도 강릉시 교동","317-1","0317","0001","유화그린맨션","84.99","201007","10","7,000","8","1991","가작로 170"
"강원도 강릉시 교동","1034","1034","0000","정아타워맨션","76.29","201007","23","6,500","7","1992","화부산로 29"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","152.94","201007","30","24,100","9","1999","원대로128번길 14"
"강원도 강릉시 남문동","183-2","0183","0002","삼익그린맨션","84.08","201007","19","7,000","12","1992","홍제로 7-13"
"강원도 강릉시 남문동","183-2","0183","0002","삼익그린맨션","84.08","201007","24","7,750","7","1992","홍제로 7-13"
"강원도 강릉시 내곡동","75-1","0075","0001","관동2","49.94","201007","7","3,150","1","1992","남산초교길12번길 11"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","58.74","201007","5","5,300","5","1993","남부로125번길 37"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","84.48","201007","14","6,900","5","1993","남부로125번길 37"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","84.99","201007","10","9,200","4","1998","범일로 645"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.69","201007","14","3,200","3","1989","관대길16번길 6"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","201007","17","6,700","17","1997","강변로 114"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","84.95","201007","27","13,000","12","1997","강변로 114"
"강원도 강릉시 내곡동","136","0136","0000","삼익타워맨션","84.86","201007","13","6,600","4","1993","남산초교길 65"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","39.762","201007","3","4,150","6","2000","남부로125번길 7"
