"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20060101 ~ 20060131"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","43.38","200601","24","4,200","1","1997","경강로2539번길 8"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","6","7,500","2","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","9","8,500","11","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","200601","10","12,500","5","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","12","5,998","2","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","13","7,213","14","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","13","7,379","13","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","49.85","200601","13","5,580","6","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","13","7,379","7","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","13","7,379","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","13","7,379","9","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","13","7,213","14","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","13","7,379","4","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","14","8,600","7","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","200601","23","12,300","8","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200601","23","6,137","9","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","49.85","200601","24","5,500","1","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","84.97","200601","2","14,500","14","1999","교동광장로 138-15"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","99.98","200601","19","17,200","14","1999","교동광장로 138-13"
"강원도 강릉시 교동","18-16","0018","0016","교동대림","59.84","200601","24","7,200","5","1997","수리골길17번길 21"
"강원도 강릉시 교동","37-3","0037","0003","예성그린1","56.16","200601","7","4,900","6","1995","가작로252번길 22"
"강원도 강릉시 교동","828-19","0828","0019","현대","84.945","200601","27","7,000","4","1992","옛강일길 41"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","122.74","200601","30","21,300","3","1999","원대로128번길 14"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","200601","20","2,000","4","1988","관대길 63"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","200601","27","1,900","3","1988","관대길 63"
"강원도 강릉시 내곡동","75-1","0075","0001","관동2","49.94","200601","11","3,900","2","1992","남산초교길12번길 11"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","84.99","200601","19","10,000","9","1998","범일로 645"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","59.84","200601","25","7,500","16","1998","범일로 645"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.3","200601","4","2,500","2","1989","관대길16번길 6"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.3","200601","17","3,000","4","1989","관대길16번길 6"
"강원도 강릉시 내곡동","136","0136","0000","삼익타워맨션","84.86","200601","2","6,900","5","1993","남산초교길 65"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","39.762","200601","3","4,500","12","2000","남부로125번길 7"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","39.762","200601","9","4,300","11","2000","남부로125번길 7"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","74.64","200601","18","8,400","14","2000","남부로125번길 7"
"강원도 강릉시 노암동","390","0390","0000","노암한라","129.801","200601","25","11,300","6","1994","노암길42번길 24"
"강원도 강릉시 노암동","385","0385","0000","한라2","59.989","200601","2","5,700","1","1995","남부로191번길 21"
"강원도 강릉시 송정동","940-23","0940","0023","대림맨션","84.99","200601","3","6,700","1","1991","남강초교2길 44"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","16","6,728","4","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","8","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","1","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","2","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","2","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","10","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","4","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","6,900","1","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","6","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","1","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","2","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,200","5","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","3","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","4","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","9","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","10","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","7","2000","강변로440번길 30"
"강원도 강릉시 입암동","543-3","0543","0003","에버그린","59.85","200601","23","7,000","4","2000","강변로440번길 30"
"강원도 강릉시 입암동","90-5","0090","0005","은하","39.85","200601","12","2,700","4","2001","월대산로 47"
"강원도 강릉시 입암동","641","0641","0000","입암1주공","39.72","200601","10","2,800","1","1986","강변로 364"
"강원도 강릉시 입암동","641","0641","0000","입암1주공","39.72","200601","26","2,500","1","1986","강변로 364"
"강원도 강릉시 입암동","685","0685","0000","입암5주공","49.97","200601","12","4,900","12","1996","성덕포남로 89-17"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200601","13","6,000","11","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200601","13","5,800","13","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200601","19","6,000","14","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200601","19","6,200","6","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","200601","23","4,200","5","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200601","24","4,700","11","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","59.99","200601","26","6,100","7","1998","성덕포남로 39"
"강원도 강릉시 입암동","709-1","0709","0001","입암6주공","49.62","200601","27","5,100","5","1998","성덕포남로 39"
"강원도 강릉시 입암동","440","0440","0000","입암현대","59.956","200601","2","6,600","1","1998","용지로 19"
"강원도 강릉시 입암동","440","0440","0000","입암현대","84.904","200601","12","9,500","12","1998","용지로 19"
"강원도 강릉시 입암동","440","0440","0000","입암현대","59.956","200601","12","7,100","4","1998","용지로 19"
"강원도 강릉시 입암동","440","0440","0000","입암현대","99.604","200601","20","12,000","14","1998","용지로 19"
"강원도 강릉시 입암동","440","0440","0000","입암현대","59.956","200601","26","7,000","7","1998","용지로 19"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","2","3,780","14","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","2","3,780","7","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","3","3,780","3","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","3","3,780","6","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","39.51","200601","3","2,890","9","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","3","3,780","14","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","3","3,780","11","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","3","3,830","9","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","39.51","200601","3","2,890","9","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","3","3,780","13","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","3","3,780","4","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","39.51","200601","3","2,810","2","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","3","3,780","4","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","4","3,830","11","2000","연주로 241-7"
"강원도 강릉시 주문진읍 교항리","1256","1256","0000","교항2주공","49.85","200601","5","3,780","3","2000","연주로 241-7"
