"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20070201 ~ 20070228"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","200702","9","6,500","3","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","43.38","200702","15","4,000","2","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","200702","15","5,900","15","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","200702","21","9,300","6","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","200702","25","8,600","7","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","200702","27","6,100","3","1997","경강로2539번길 8"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","200702","2","8,790","3","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","200702","3","15,000","11","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","200702","5","14,800","9","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","200702","15","15,300","15","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","200702","20","14,500","9","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","200702","26","13,700","7","2005","경강로2539번길 22"
"강원도 강릉시 교동","797-1","0797","0001","강원","59.49","200702","5","4,750","3","1985","화부산로131번길 6"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200702","1","8,000","6","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200702","1","7,600","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200702","1","8,600","8","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","200702","3","12,600","6","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200702","12","7,500","15","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","49.85","200702","12","6,050","4","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200702","22","8,300","7","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","84.97","200702","1","9,500","1","1999","교동광장로 138-15"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","134.97","200702","8","23,800","5","1999","교동광장로 138-15"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","84.97","200702","14","14,250","10","1999","교동광장로 138-15"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","84.97","200702","21","14,400","3","1999","교동광장로 138-15"
