"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20100801 ~ 20100831"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","201008","18","8,020","8","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","201008","24","6,500","5","1997","경강로2539번길 8"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","201008","4","9,300","9","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","201008","14","14,400","9","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","201008","21","8,100","2","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","201008","27","8,600","14","2005","경강로2539번길 22"
"강원도 강릉시 교동","1982","1982","0000","강릉교동롯데캐슬1단지","135.1727","201008","17","28,045","12","2009","화부산로99번길 12"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","135.1008","201008","23","27,903","15","2009","화부산로111번길 24"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201008","3","8,000","4","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201008","3","8,300","14","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","201008","19","11,500","1","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","201008","19","14,200","10","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","84.97","201008","3","13,500","12","1999","교동광장로 138-15"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201008","6","9,100","8","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.79","201008","16","8,600","15","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201008","23","8,700","15","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201008","25","9,000","10","2002","교동광장로 138-12"
"강원도 강릉시 교동","357","0357","0000","교동이-편한세상","84.7155","201008","9","16,000","11","2006","종합운동장길 92"
"강원도 강릉시 교동","332-2","0332","0002","대인맨션","84.12","201008","21","6,470","12","1991","화부산로141번길 45"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","201008","4","13,600","10","2001","교동광장로 163"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","201008","4","10,300","3","2001","교동광장로 163"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","201008","5","13,300","9","2001","교동광장로 163"
"강원도 강릉시 교동","37-3","0037","0003","예성그린1","56.16","201008","20","5,000","3","1995","가작로252번길 22"
"강원도 강릉시 교동","45-7","0045","0007","예성그린2차","56.26","201008","6","4,650","10","1997","명륜로 95-8"
"강원도 강릉시 교동","46-1","0046","0001","한신","59.84","201008","3","5,800","18","1997","명륜로 95-7"
"강원도 강릉시 교동","46-1","0046","0001","한신","59.84","201008","24","6,500","12","1997","명륜로 95-7"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","99.96","201008","15","16,000","15","1999","원대로128번길 14"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","201008","4","1,800","3","1988","관대길 63"
"강원도 강릉시 내곡동","75-1","0075","0001","관동2","49.94","201008","6","3,830","3","1992","남산초교길12번길 11"
"강원도 강릉시 내곡동","75-1","0075","0001","관동2","49.94","201008","27","2,950","5","1992","남산초교길12번길 11"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","58.74","201008","28","4,750","9","1993","남부로125번길 37"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","84.99","201008","28","9,700","14","1998","범일로 645"
"강원도 강릉시 내곡동","75-4","0075","0004","내곡시영","39.3","201008","3","2,550","3","1990","남산초교길 22"
