"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20181201 ~ 20181231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","201812","2","18,400","7","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","201812","8","15,950","4","2005","경강로2539번길 23"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","59.99","201812","25","17,000","13","2005","경강로2539번길 22"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201812","12","14,900","9","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201812","24","15,400","11","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","201812","29","19,200","4","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","99.98","201812","11","25,600","14","1999","교동광장로 138-15"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201812","5","18,600","10","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","201812","15","17,100","9","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.79","201812","25","17,100","12","2002","교동광장로 138-12"
"강원도 강릉시 교동","357","0357","0000","교동이-편한세상","84.7155","201812","20","25,300","14","2006","종합운동장길 92"
"강원도 강릉시 교동","834","0834","0000","덕진","40.86","201812","7","5,800","5","1988","옛강일길 28"
