"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
"* 주택매매 거래는 부동산 거래신고 등에 관한 법률 제3조에 따라 계약일로부터 60일 이내 신고토록 하고 있습니다."
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20080901 ~ 20080930"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","200809","8","7,500","14","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","200809","8","5,000","1","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","200809","8","5,800","8","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.945","200809","9","8,500","11","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","200809","10","6,100","13","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","200809","11","5,950","2","1997","경강로2539번길 8"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","200809","3","14,000","14","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","200809","25","14,300","8","2005","경강로2539번길 22"
"강원도 강릉시 견소동","289","0289","0000","송정해변신도브래뉴아파트","84.99","200809","30","13,700","12","2005","경강로2539번길 22"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200809","1","7,650","2","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.8","200809","10","12,800","12","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200809","22","5,700","3","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","200809","24","8,350","7","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","99.88","200809","9","13,700","1","1999","교동광장로 138-15"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","134.97","200809","24","20,000","10","1999","교동광장로 138-15"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","200809","2","8,450","7","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","200809","5","8,500","10","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","200809","8","8,300","4","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.79","200809","9","7,800","2","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.74","200809","12","8,450","7","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.84","200809","26","8,500","6","2002","교동광장로 138-12"
"강원도 강릉시 교동","1780","1780","0000","부영3차","84.93","200809","4","12,500","6","2001","하슬라로 124"
"강원도 강릉시 교동","46-1","0046","0001","한신","84.98","200809","18","8,500","9","1997","명륜로 95-7"
"강원도 강릉시 교동","46-1","0046","0001","한신","59.84","200809","28","5,100","1","1997","명륜로 95-7"
"강원도 강릉시 교동","46-1","0046","0001","한신","84.98","200809","30","7,400","1","1997","명륜로 95-7"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","200809","7","3,000","4","1988","관대길 63"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","84.48","200809","17","7,000","2","1993","남부로125번길 37"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","84.48","200809","19","6,900","4","1993","남부로125번길 37"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","59.84","200809","25","6,800","17","1998","범일로 645"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","84.99","200809","25","9,700","14","1998","범일로 645"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","59.84","200809","27","6,500","4","1998","범일로 645"
"강원도 강릉시 내곡동","75-4","0075","0004","내곡시영","39.3","200809","18","3,000","5","1990","남산초교길 22"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","39.69","200809","8","3,000","1","1989","관대길16번길 6"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","200809","24","6,800","3","1997","강변로 114"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","84.95","200809","26","8,400","12","1997","강변로 114"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","84.95","200809","27","9,200","9","1997","강변로 114"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","200809","30","5,500","17","1997","강변로 114"
"강원도 강릉시 노암동","618-1","0618","0001","고합","43.38","200809","1","3,250","1","1996","남부로125번길 23"
"강원도 강릉시 노암동","618-1","0618","0001","고합","32.04","200809","3","2,450","10","1996","남부로125번길 23"
"강원도 강릉시 노암동","835","0835","0000","노암2주공","49.22","200809","4","3,000","5","1984","노가니남길 25"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","39.762","200809","1","4,400","9","2000","남부로125번길 7"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","59.994","200809","8","5,800","1","2000","남부로125번길 7"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","59.994","200809","10","6,900","3","2000","남부로125번길 7"
"강원도 강릉시 노암동","610","0610","0000","노암남산현대","59.84","200809","2","7,350","5","1998","남부로125번길 11"
"강원도 강릉시 노암동","610","0610","0000","노암남산현대","59.84","200809","23","7,150","11","1998","남부로125번길 11"
"강원도 강릉시 노암동","661","0661","0000","범아","66.65","200809","4","3,000","1","1980","임영로25번길 3-6"
"강원도 강릉시 노암동","661","0661","0000","범아","52.7","200809","26","1,700","2","1980","임영로25번길 3-6"
"강원도 강릉시 노암동","711","0711","0000","신화","84.954","200809","16","9,650","15","1998","강변로 270"
"강원도 강릉시 노암동","366","0366","0000","영진노암2차","58.495","200809","13","3,700","9","1994","남부로163번길 20"
"강원도 강릉시 노암동","385","0385","0000","한라2","55.483","200809","22","5,400","3","1995","남부로191번길 21"
"강원도 강릉시 노암동","245-5","0245","0005","현대","84.945","200809","5","6,700","9","1992","율곡로 2733"
"강원도 강릉시 송정동","1061","1061","0000","경포대신도브래뉴로얄카운티","155.837","200809","7","31,640","10","2007","해안로 93-8"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","30.24","200809","17","3,800","7","1999","연주로 132"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","30.24","200809","17","3,800","3","1999","연주로 132"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","30.24","200809","17","3,800","1","1999","연주로 132"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","43.2","200809","17","4,800","3","1999","연주로 132"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","43.2","200809","17","4,800","3","1999","연주로 132"
"강원도 강릉시 연곡면 영진리","305-2","0305","0002","삼우그린","43.2","200809","17","4,800","1","1999","연주로 132"
