"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180501 ~ 20180531"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,894","11","201805","3","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","26,854","7","201805","23","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","37,272","11","201805","23","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,216","8","201805","23","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,794","12","201805","26","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.8863","25,756","10","201805","2","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","26,007","11","201805","15","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,206","13","201805","15","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,836","11","201805","21","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,636","10","201805","23","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,887","11","201805","25","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","26,991","15","201805","27","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,310","13","201805","2","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,860","15","201805","8","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","27,237","11","201805","21","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,261","12","201805","21","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","27,026","2","201805","29","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,526","10","201805","30","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","17,210","2","201805","14","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","23,789","14","201805","21","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","61.14","17,470","12","201805","15","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","65.67","18,800","8","201805","15","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.45","17,440","16","201805","21","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.45","17,426","14","201805","29","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.95","20,491","16","201805","1","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","19,292","15","201805","2","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,392","20","201805","3","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,192","5","201805","7","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","20,632","11","201805","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,342","4","201805","14","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","21,192","9","201805","21","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,982","1","201805","25","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","19,192","7","201805","31","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.961","25,261","20","201805","14","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.9955","24,981","11","201805","31","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","84.9925","22,631","5","201805","14","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","84.9925","22,431","4","201805","14","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","74.9974","20,281","12","201805","19","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","84.9925","22,431","9","201805","23","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","74.9974","20,505","5","201805","24","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","74.9974","20,505","3","201805","29","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","84.9925","22,731","2","201805","31","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","22,380","9","201805","21","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.3048","21,490","2","201805","29","분"
"강원도 동해시 동회동","120","동해 북삼2차 웰메이드타운","84.9607","24,780","3","201805","4","분"
"강원도 동해시 동회동","120","동해 북삼2차 웰메이드타운","84.6872","25,580","14","201805","15","분"
"강원도 동해시 동회동","120","동해 북삼2차 웰메이드타운","75.5869","22,730","15","201805","17","분"
"강원도 동해시 동회동","120","동해 북삼2차 웰메이드타운","84.9607","25,280","10","201805","17","분"
"강원도 동해시 동회동","451","북삼하우스디아파트","59.911","15,960","10","201805","3","분"
"강원도 동해시 동회동","451","북삼하우스디아파트","59.911","15,960","5","201805","10","분"
"강원도 동해시 동회동","451","북삼하우스디아파트","74.3567","20,950","11","201805","21","분"
"강원도 동해시 동회동","451","북삼하우스디아파트","84.9625","23,910","20","201805","29","분"
"강원도 동해시 동회동","451","북삼하우스디아파트","74.3567","20,550","10","201805","30","분"
"강원도 동해시 발한동","501-11","현대썬앤빌 동해파크힐","59.8993","17,700","13","201805","22","분"
"강원도 동해시 발한동","501-11","현대썬앤빌 동해파크힐","59.8993","16,700","6","201805","30","분"
"강원도 동해시 이도동","108","동해 아이파크","84.98","25,500","15","201805","2","분"
"강원도 동해시 이도동","108","동해 아이파크","84.98","25,000","7","201805","3","분"
