"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180801 ~ 20180831"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,436","13","201808","20","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","26,162","8","201808","22","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,156","6","201808","22","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","24,536","4","201808","23","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","180.05","37,495","6","201808","13","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","27,077","13","201808","16","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","25,840","4","201808","25","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,547","12","201808","26","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","27,624","10","201808","1","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","27,324","7","201808","1","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,879","19","201808","1","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","27,374","13","201808","1","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,579","7","201808","1","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","24,279","13","201808","2","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,959","21","201808","2","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","24,279","15","201808","2","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,187","4","201808","2","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,979","7","201808","2","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,979","12","201808","2","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","27,424","6","201808","2","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","26,141","4","201808","2","분"
