"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20170101 ~ 20170131"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,720","8","201701","24","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,756","9","201701","2","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","24,936","7","201701","6","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","24,435","15","201701","16","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","24,235","11","201701","18","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","24,485","15","201701","19","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,445","19","201701","19","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,706","12","201701","24","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","26,173","8","201701","25","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.45","17,140","19","201701","11","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","74.67","20,930","18","201701","11","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.76","17,130","20","201701","16","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","65.67","19,085","14","201701","23","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","65.67","18,770","15","201701","24","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","8","201701","2","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,832","5","201701","3","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","7","201701","3","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","13","201701","4","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","12","201701","6","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","15","201701","6","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","13","201701","7","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,400","6","201701","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","18,232","10","201701","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,932","10","201701","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,022","2","201701","10","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","18","201701","10","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.95","17,691","21","201701","10","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","17","201701","10","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,942","16","201701","11","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,092","12","201701","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","16,682","1","201701","13","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.95","17,982","13","201701","17","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","8","201701","19","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,982","15","201701","21","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,892","11","201701","24","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","16,682","1","201701","24","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","10","201701","24","분"
"강원도 강릉시 회산동","203-1","강릉 서희스타힐스","84.8956","20,832","3","201701","3","분"
"강원도 강릉시 회산동","203-1","강릉 서희스타힐스","74.6787","19,679","4","201701","5","분"
"강원도 강릉시 회산동","203-1","강릉 서희스타힐스","59.928","15,629","4","201701","23","분"
"강원도 강릉시 회산동","203-1","강릉 서희스타힐스","74.6787","20,863","17","201701","31","분"
