"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20191201 ~ 20191231"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,444","4","201912","3","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","28,010","12","201912","6","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,616","7","201912","12","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,844","8","201912","13","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,344","11","201912","21","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","105.5545","37,871","9","201912","24","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,016","16","201912","24","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","28,199","15","201912","24","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","26,316","6","201912","26","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,554","7","201912","27","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,916","6","201912","30","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,410","5","201912","1","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","31,156","15","201912","3","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","27,672","8","201912","3","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.99","30,757","10","201912","4","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,526","7","201912","4","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","27,140","13","201912","4","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","32,849","12","201912","5","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","28,102","10","201912","6","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.99","31,057","13","201912","7","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","27,300","5","201912","8","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","29,180","12","201912","9","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.99","31,057","13","201912","10","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","26,730","1","201912","10","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","27,540","8","201912","11","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,226","7","201912","12","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,610","5","201912","12","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,110","9","201912","12","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","26,700","4","201912","13","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","27,846","12","201912","13","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,651","5","201912","13","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,826","5","201912","13","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,710","16","201912","14","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","28,539","9","201912","14","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,731","3","201912","14","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","28,900","19","201912","14","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,580","3","201912","17","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,427","4","201912","18","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,510","6","201912","18","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","28,245","5","201912","18","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,075","7","201912","19","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,410","9","201912","19","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","27,420","1","201912","19","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,428","15","201912","19","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,455","14","201912","20","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,973","4","201912","23","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,038","5","201912","23","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,210","12","201912","23","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","27,176","5","201912","26","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","26,477","1","201912","26","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,851","5","201912","27","분"
"강원도 강릉시 송정동","1064","송정아이파크","84.93","31,310","11","201912","19","분"
"강원도 강릉시 연곡면 영진리","381","영진코아루비치테라스","20.7527","10,380","18","201912","30","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","96.3359","34,193","8","201912","2","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","29,863","9","201912","3","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","31,463","21","201912","3","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","30,733","14","201912","3","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","31,265","17","201912","6","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","96.3359","37,672","22","201912","6","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","30,113","8","201912","7","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.3187","31,924","28","201912","12","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","96.3359","35,323","12","201912","14","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","31,190","15","201912","20","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","84.899","35,092","1","201912","24","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","128.9549","48,182","91","201912","24","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","148.6728","59,242","3","201912","25","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","128.9549","48,182","91","201912","27","분"
"강원도 강릉시 주문진읍 교항리","21","강릉 주문진 서희스타힐스","59.8411","16,625","19","201912","1","분"
"강원도 강릉시 주문진읍 교항리","21","강릉 주문진 서희스타힐스","74.934","19,891","10","201912","3","분"
"강원도 강릉시 주문진읍 교항리","21","강릉 주문진 서희스타힐스","74.934","21,215","19","201912","28","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","21,790","2","201912","5","분"
"강원도 고성군 토성면 봉포리","271-1","고성 봉포 코아루 오션비치","63.8634","21,180","14","201912","20","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9657","27,695","23","201912","17","분"
"강원도 동해시 단봉동","13","동해시 단봉동 e편한세상 동해","84.98","26,100","15","201912","26","분"
"강원도 동해시 단봉동","13","동해시 단봉동 e편한세상 동해","84.98","25,100","15","201912","26","분"
"강원도 동해시 이도동","83-1","동해 코아루 더 스카이","84.9416","24,863","9","201912","3","분"
"강원도 동해시 이도동","83-1","동해 코아루 더 스카이","75.4987","21,047","2","201912","20","분"
"강원도 동해시 이도동","83-1","동해 코아루 더 스카이","84.9416","25,308","20","201912","24","분"
"강원도 동해시 천곡동","540-4","동해 천곡 금호어울림 라포레","84.9481","26,920","22","201912","14","분"
"강원도 동해시 천곡동","540-4","동해 천곡 금호어울림 라포레","84.9481","28,213","19","201912","16","분"
"강원도 동해시 천곡동","540-4","동해 천곡 금호어울림 라포레","64.7915","20,366","22","201912","26","분"
"강원도 동해시 천곡동","540-4","동해 천곡 금호어울림 라포레","84.9481","27,624","16","201912","30","분"
"강원도 동해시 천곡동","540-4","동해 천곡 금호어울림 라포레","84.9481","26,920","18","201912","30","분"
