"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180401 ~ 20180430"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,544","16","201804","9","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","37,962","13","201804","29","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,873","17","201804","5","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,836","18","201804","11","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,136","11","201804","12","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","26,006","15","201804","14","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,756","4","201804","15","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,436","16","201804","18","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.8863","25,556","13","201804","25","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,956","8","201804","25","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,822","11","201804","27","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,600","9","201804","7","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,055","14","201804","7","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","26,000","14","201804","7","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","27,400","18","201804","12","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,793","12","201804","19","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","25,800","10","201804","19","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","105.82","30,350","1","201804","23","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,450","12","201804","23","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","26,640","8","201804","25","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","27,043","9","201804","27","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,400","17","201804","28","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","84.899","36,012","1","201804","8","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","84.7242","35,034","2","201804","11","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","84.899","35,812","1","201804","16","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","74.67","20,820","9","201804","8","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","61.14","17,130","8","201804","17","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,392","16","201804","4","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","20,632","14","201804","5","분"
