"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190401 ~ 20190430"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","37,672","16","201904","2","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,416","13","201904","6","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","25,146","14","201904","22","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,644","9","201904","24","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","25,044","9","201904","24","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","27,387","17","201904","1","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","26,073","10","201904","5","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,936","20","201904","8","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,356","18","201904","9","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,136","9","201904","20","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,666","14","201904","29","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,310","8","201904","4","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","31,962","10","201904","8","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,306","11","201904","10","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","105.82","35,460","9","201904","11","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,526","6","201904","15","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","26,990","8","201904","19","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,116","5","201904","25","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,390","10","201904","26","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.961","25,736","12","201904","1","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.9955","25,658","5","201904","2","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.9955","25,436","16","201904","4","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.8863","25,235","10","201904","5","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.8863","27,156","15","201904","9","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.9955","25,573","5","201904","15","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.9955","25,336","10","201904","15","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.9955","25,236","6","201904","22","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.961","24,636","3","201904","29","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","23,189","9","201904","10","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,777","13","201904","11","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","23,489","14","201904","13","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.986","18,277","13","201904","18","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.9955","25,047","6","201904","1","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.9955","25,281","18","201904","3","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.8863","25,061","13","201904","8","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.961","24,361","10","201904","9","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.961","25,021","9","201904","10","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.961","24,761","11","201904","15","분"
"강원도 강릉시 회산동","610","강릉회산 한신더휴","84.8863","25,798","14","201904","16","분"
