"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200201 ~ 20200229"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,506","4","202002","1","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","39,222","7","202002","3","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","28,268","13","202002","4","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","37,572","8","202002","4","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,616","5","202002","5","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","105.5545","40,371","14","202002","5","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","25,844","5","202002","9","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,468","4","202002","9","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","37,772","6","202002","10","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","38,462","12","202002","11","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","25,344","14","202002","13","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","27,527","9","202002","14","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,268","7","202002","17","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,054","7","202002","17","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,996","16","202002","17","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,854","7","202002","18","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","41,657","12","202002","21","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","25,144","17","202002","22","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,404","10","202002","23","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","28,791","5","202002","24","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,262","4","202002","26","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","30,268","13","202002","27","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","27,700","5","202002","4","분"
"강원도 강릉시 송정동","1064","송정아이파크","117.69","41,573","13","202002","7","분"
"강원도 강릉시 송정동","1064","송정아이파크","84.93","31,110","5","202002","15","분"
"강원도 강릉시 연곡면 영진리","381","영진코아루비치테라스","49.5082","23,170","18","202002","25","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.3187","28,708","1","202002","3","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","35,501","13","202002","4","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","96.3359","38,764","9","202002","5","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","96.3359","34,623","6","202002","10","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","109.791","43,894","8","202002","15","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","96.3359","37,341","20","202002","17","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","96.3359","38,225","8","202002","17","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","109.791","44,618","14","202002","28","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","128.9549","48,922","0","202002","1","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","128.9549","48,922","0","202002","10","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","84.899","35,812","1","202002","12","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","84.899","36,062","1","202002","13","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","128.9549","48,922","91","202002","24","분"
"강원도 강릉시 주문진읍 교항리","21","강릉 주문진 서희스타힐스","59.8411","16,925","20","202002","1","분"
"강원도 강릉시 주문진읍 교항리","21","강릉 주문진 서희스타힐스","59.8411","15,310","1","202002","10","분"
"강원도 강릉시 홍제동","1044","엘에이치미디어촌6단지","59.98","23,000","6","202002","17","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","22,430","9","202002","21","분"
