"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190501 ~ 20190531"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,466","14","201905","14","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","37,772","16","201905","29","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,868","8","201905","31","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,202","7","201905","1","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,636","13","201905","4","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,356","7","201905","13","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","26,273","17","201905","20","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","27,260","2","201905","3","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","105.82","34,857","4","201905","4","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,376","15","201905","7","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,726","16","201905","8","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,100","15","201905","9","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,335","10","201905","9","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","26,577","4","201905","10","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,004","14","201905","11","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,726","12","201905","14","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,154","18","201905","22","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","28,500","20","201905","23","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","27,577","10","201905","28","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.8863","27,336","16","201905","10","분"
"강원도 강릉시 송정동","1063","강릉송정 한신더휴","84.9955","25,000","7","201905","29","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","23,589","7","201905","2","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,577","4","201905","2","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","24,339","13","201905","8","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","23,489","7","201905","10","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","23,289","9","201905","14","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.986","18,827","8","201905","15","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","20,969","1","201905","31","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.3048","20,580","10","201905","20","분"
"강원도 고성군 토성면 봉포리","271-1","고성 봉포 코아루 오션비치","75.9201","25,890","9","201905","3","분"
"강원도 고성군 토성면 봉포리","271-1","고성 봉포 코아루 오션비치","63.8634","21,180","13","201905","29","분"
