"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190101 ~ 20190131"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,216","9","201901","26","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,536","16","201901","4","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","27,806","10","201901","7","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,756","10","201901","15","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","24,602","4","201901","16","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,336","11","201901","18","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,336","11","201901","18","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","26,756","19","201901","19","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,373","2","201901","20","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.8863","25,996","6","201901","21","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","27,136","9","201901","22","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,056","19","201901","23","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","28,296","12","201901","28","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,673","15","201901","29","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,260","5","201901","2","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","24,540","2","201901","8","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,210","13","201901","12","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","27,377","10","201901","14","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","84.899","36,062","1","201901","30","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","26,579","8","201901","14","분"
"강원도 강릉시 유천동","778","엘에이치선수촌8단지","74.88","24,079","5","201901","2","분"
"강원도 강릉시 유천동","778","엘에이치선수촌8단지","84.77","26,924","14","201901","4","분"
"강원도 강릉시 유천동","778","엘에이치선수촌8단지","84.77","27,574","6","201901","4","분"
"강원도 강릉시 유천동","778","엘에이치선수촌8단지","74.88","23,579","22","201901","16","분"
