"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20200601 ~ 20200630"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 내곡동","296-1","강릉 블루밍 더 베스트","49.967","19,193","18","202006","1","분"
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","75.9722","25,215","10","202006","4","분"
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","84.9522","28,016","2","202006","10","분"
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","84.9522","29,904","4","202006","13","분"
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","75.9722","26,044","14","202006","17","분"
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","109.495","38,272","9","202006","19","분"
"강원도 강릉시 송정동","1065","강릉 송정 신원아침도시","109.495","38,122","4","202006","20","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,044","2","202006","3","분"
"강원도 강릉시 연곡면 영진리","381","영진코아루비치테라스","29.9674","12,820","9","202006","23","분"
"강원도 강릉시 연곡면 영진리","381","영진코아루비치테라스","28.1602","12,330","9","202006","26","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","96.3359","36,737","9","202006","10","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","34,965","16","202006","15","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","35,013","31","202006","15","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","33,695","31","202006","17","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","96.3359","38,183","2","202006","26","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.2785","34,371","13","202006","27","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","84.3187","32,548","15","202006","30","분"
"강원도 강릉시 유천동","BL-S-1","강릉유천 S-1 유승한내들 더퍼스트","109.791","47,082","10","202006","30","분"
"강원도 강릉시 주문진읍 교항리","21","강릉 주문진 서희스타힐스","74.934","19,891","16","202006","8","분"
"강원도 강릉시 주문진읍 교항리","21","강릉 주문진 서희스타힐스","76.711","22,601","13","202006","10","분"
"강원도 강릉시 주문진읍 교항리","21","강릉 주문진 서희스타힐스","76.711","20,801","20","202006","10","분"
"강원도 강릉시 주문진읍 주문리","1056-1","주문진 삼부 르네상스","75.271","25,600","14","202006","20","분"
"강원도 강릉시 주문진읍 주문리","1056-1","주문진 삼부 르네상스","75.271","25,770","16","202006","28","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","22,250","11","202006","4","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","22,750","12","202006","11","분"
"강원도 고성군 토성면 봉포리","271-1","고성 봉포 코아루 오션비치","81.4465","26,256","8","202006","5","분"
"강원도 고성군 토성면 봉포리","271-1","고성 봉포 코아루 오션비치","81.4465","28,256","14","202006","11","분"
"강원도 고성군 토성면 봉포리","271-1","고성 봉포 코아루 오션비치","81.4465","26,756","17","202006","22","분"
"강원도 고성군 토성면 봉포리","271-1","고성 봉포 코아루 오션비치","81.4465","28,356","12","202006","22","분"
"강원도 고성군 토성면 봉포리","271-1","고성 봉포 코아루 오션비치","84.9767","28,770","5","202006","23","분"
"강원도 고성군 토성면 봉포리","271-1","고성 봉포 코아루 오션비치","63.8634","22,170","10","202006","24","분"
"강원도 고성군 토성면 봉포리","271-1","고성 봉포 코아루 오션비치","63.8634","21,980","12","202006","26","분"
"강원도 고성군 토성면 봉포리","381","봉포스위트엠오션파크","80.4353","22,550","11","202006","15","분"
"강원도 고성군 토성면 봉포리","381","봉포스위트엠오션파크","80.4353","23,750","16","202006","17","분"
"강원도 고성군 토성면 봉포리","381","봉포스위트엠오션파크","80.4353","22,130","6","202006","18","분"
"강원도 고성군 토성면 봉포리","381","봉포스위트엠오션파크","80.4353","24,000","19","202006","27","분"
"강원도 고성군 토성면 봉포리","381","봉포스위트엠오션파크","80.4353","23,300","12","202006","30","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9721","27,534","21","202006","2","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9721","27,594","22","202006","2","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9721","26,934","8","202006","4","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9721","27,534","24","202006","6","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9721","27,234","11","202006","7","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9657","27,755","18","202006","20","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9657","27,995","21","202006","24","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9721","29,254","22","202006","26","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9721","27,234","14","202006","29","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","84.9721","27,234","14","202006","29","분"
"강원도 고성군 토성면 천진리","184-11","강원고성천진 한신더휴 오션프레스티지","75.7237","25,368","12","202006","29","분"
