"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20170701 ~ 20170731"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 교동","1984","강릉 교동 풍림아이원 아파트","84.9964","25,840","20","201707","28","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","22,760","2","201707","4","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.0388","21,030","11","201707","5","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,820","6","201707","5","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.0388","20,030","17","201707","5","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,840","11","201707","5","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.04","19,180","9","201707","6","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,840","17","201707","7","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,840","10","201707","10","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,790","16","201707","12","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,520","9","201707","14","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,580","8","201707","21","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,940","11","201707","21","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,770","11","201707","24","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.04","19,180","4","201707","24","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,906","13","201707","4","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,756","6","201707","4","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,556","12","201707","5","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,756","16","201707","5","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,206","8","201707","10","분"
