"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20181101 ~ 20181130"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,344","11","201811","28","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","26,156","11","201811","6","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,536","5","201811","8","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,202","19","201811","9","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,622","10","201811","16","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","26,487","10","201811","22","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","26,253","11","201811","29","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","26,136","17","201811","30","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","27,700","17","201811","12","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","27,096","7","201811","16","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,310","13","201811","17","분"
"강원도 강릉시 유천동","418-5","강릉유천 더 테라스 아리스타","84.7242","35,084","2","201811","21","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","24,979","21","201811","1","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","24,779","23","201811","1","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,579","18","201811","5","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","27,594","7","201811","5","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","24,079","7","201811","14","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","27,079","12","201811","20","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,979","5","201811","22","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","23,879","17","201811","23","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","84.77","27,924","16","201811","23","분"
"강원도 강릉시 유천동","BL-B-2","강릉유천B-2블록 공공분양","74.88","27,079","15","201811","29","분"
"강원도 강릉시 유천동","778","엘에이치선수촌8단지","74.88","24,279","19","201811","14","분"
"강원도 강릉시 유천동","778","엘에이치선수촌8단지","74.88","28,379","19","201811","28","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","21,907","2","201811","26","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.45","17,490","17","201811","13","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.76","17,430","13","201811","14","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.76","17,560","12","201811","19","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","20,132","17","201811","4","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,092","20","201811","7","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","20,192","12","201811","14","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","18,832","8","201811","19","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","20,632","17","201811","21","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","20,232","14","201811","22","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","20,232","18","201811","22","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","20,532","19","201811","24","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","18,632","18","201811","25","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","21,492","19","201811","27","분"
"강원도 강릉시 홍제동","1044","엘에이치미디어촌6단지","59.98","19,692","13","201811","8","분"
"강원도 강릉시 홍제동","1044","엘에이치미디어촌6단지","59.98","20,072","3","201811","25","분"
