"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20170401 ~ 20170430"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,740","17","201704","10","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.99","23,820","7","201704","10","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,840","16","201704","11","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,210","11","201704","14","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,210","20","201704","14","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.0388","19,280","8","201704","21","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,040","2","201704","25","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.0388","19,480","7","201704","26","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,406","14","201704","19","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,186","13","201704","25","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,527","14","201704","5","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,377","12","201704","5","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.986","18,527","6","201704","6","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,477","10","201704","6","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","16,910","2","201704","6","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,477","9","201704","6","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,527","11","201704","8","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,477","8","201704","11","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.966","18,277","4","201704","19","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,377","7","201704","19","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","61.14","17,170","12","201704","24","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.45","17,120","8","201704","26","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","8","201704","1","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,292","19","201704","1","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,612","3","201704","5","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,632","17","201704","6","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,982","19","201704","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,892","5","201704","11","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,792","20","201704","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","18,012","11","201704","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,192","6","201704","13","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,942","13","201704","15","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","13","201704","15","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,492","5","201704","17","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,412","3","201704","17","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,192","8","201704","18","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,092","7","201704","18","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,692","5","201704","22","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,200","7","201704","28","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.95","17,991","12","201704","28","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.9955","24,761","8","201704","5","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.9955","25,031","12","201704","10","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.9955","25,231","18","201704","14","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.961","24,461","14","201704","17","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","74.9974","20,505","17","201704","24","분"
"강원도 동해시 동회동","116-2","동해 북삼 하우스디","74.7297","21,050","29","201704","3","분"
"강원도 동해시 동회동","116-2","동해 북삼 하우스디","74.7297","20,750","19","201704","10","분"
"강원도 동해시 동회동","116-2","동해 북삼 하우스디","84.9625","22,880","2","201704","11","분"
