"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20170601 ~ 20170630"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,430","8","201706","2","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.04","19,630","10","201706","9","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","24,040","10","201706","13","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.0388","18,820","2","201706","14","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.04","19,430","9","201706","16","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","24,140","12","201706","22","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,230","4","201706","26","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","22,660","3","201706","26","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","22,790","2","201706","26","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,530","9","201706","26","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","24,140","15","201706","26","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,720","4","201706","26","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,230","6","201706","26","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.0388","19,480","6","201706","28","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,756","11","201706","2","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,486","18","201706","23","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","24,736","3","201706","28","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","23,489","13","201706","27","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","23,489","9","201706","29","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.76","16,990","8","201706","13","분"
