"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180201 ~ 20180228"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","25,127","9","201802","2","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","26,200","6","201802","3","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","75.9722","24,544","8","201802","5","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","27,116","5","201802","5","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","84.9522","26,854","12","201802","6","분"
"강원도 강릉시 송정동","1028","강릉 송정동 신원 아침도시","109.495","37,722","12","201802","28","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,100","9","201802","1","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","26,950","3","201802","2","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.99","28,400","13","201802","2","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","26,300","11","201802","5","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,010","18","201802","5","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,900","19","201802","5","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","26,050","12","201802","5","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","30,510","11","201802","6","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,100","6","201802","6","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,400","9","201802","7","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,200","15","201802","9","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.99","27,900","10","201802","12","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","117.69","39,500","17","201802","13","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,300","19","201802","13","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.99","28,400","5","201802","13","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,510","17","201802","13","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,000","19","201802","15","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,450","13","201802","15","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,350","9","201802","20","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,400","11","201802","21","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,400","11","201802","21","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","81.47","26,700","11","201802","22","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","26,100","10","201802","24","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","28,675","12","201802","26","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","26,900","3","201802","26","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","84.93","29,000","17","201802","28","분"
"강원도 강릉시 송정동","산103","강릉 아이파크","75.98","24,500","3","201802","28","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","23,489","10","201802","10","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","58.221","18,322","10","201802","23","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","20,692","10","201802","2","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","9","201802","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","19,992","13","201802","24","분"
"강원도 강릉시 회산동","439-8","강릉 회산동 한신 더휴","84.8863","25,281","8","201802","10","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","59.9893","16,518","2","201802","7","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","59.9893","16,818","17","201802","7","분"
"강원도 강릉시 회산동","534","회산동 힐스테이트","74.9974","20,505","14","201802","13","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","23,050","17","201802","2","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.3048","22,700","13","201802","10","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","22,430","9","201802","14","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","22,090","2","201802","14","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","21,660","5","201802","19","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","23,300","16","201802","24","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","22,130","7","201802","26","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.3048","22,500","18","201802","26","분"
"강원도 고성군 토성면 봉포리","123","강원 고성 봉포스위트엠오션파크","80.4353","23,000","11","201802","27","분"
