"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20161201 ~ 20161231"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","22,660","18","201612","2","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.0388","18,160","2","201612","5","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,460","8","201612","6","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,470","12","201612","7","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,236","7","201612","8","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","24,135","16","201612","10","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","24,585","12","201612","11","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","2,694","12","201612","13","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","24,435","5","201612","14","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","24,435","8","201612","15","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,806","12","201612","15","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,536","15","201612","15","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,856","16","201612","16","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,236","13","201612","16","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,436","19","201612","18","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,236","11","201612","19","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,436","14","201612","20","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,056","3","201612","20","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,622","8","201612","20","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","26,182","11","201612","20","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","24,966","12","201612","20","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,256","10","201612","20","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","24,936","8","201612","21","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","24,485","13","201612","21","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,756","13","201612","21","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,135","18","201612","21","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","24,385","14","201612","22","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,386","12","201612","22","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.45","17,140","15","201612","6","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.95","17,600","17","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","21","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,892","9","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,882","14","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","5","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","10","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,092","20","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,092","13","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,632","7","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,882","17","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,692","15","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","18,032","6","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.95","17,891","5","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","8","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","13","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,092","14","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,892","7","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","9","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,692","12","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,692","6","201612","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,892","16","201612","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","11","201612","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,882","16","201612","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,892","7","201612","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","16,980","3","201612","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,610","20","201612","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","22","201612","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,692","11","201612","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,042","16","201612","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,832","12","201612","9","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,982","9","201612","10","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,042","15","201612","10","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,892","14","201612","10","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,042","9","201612","10","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","9","201612","10","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,942","19","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,832","8","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,942","19","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","9","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","14","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,892","16","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,942","7","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","19,332","15","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,692","12","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","11","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,632","14","201612","12","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","6","201612","13","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","17","201612","13","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","22","201612","14","분"
