"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20170501 ~ 20170531"
"실거래구분 : 분양입주권(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","단지명","전용면적(㎡)","거래금액(만원)","층","계약년월","계약일","분/입구분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,430","8","201705","2","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,740","19","201705","2","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,520","9","201705","4","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","66.0388","18,620","3","201705","12","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,840","13","201705","15","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,890","11","201705","18","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","24,040","15","201705","22","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","85","23,790","14","201705","28","분"
"강원도 강릉시 교동","850-1","강릉교동　풍림아이원","84.9964","23,840","16","201705","30","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,336","20","201705","23","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","25,436","12","201705","25","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.961","24,886","4","201705","27","분"
"강원도 강릉시 송정동","156-4","강릉 송정동 한신 더휴","84.9955","25,436","12","201705","29","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.986","18,477","7","201705","18","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","79.191","24,074","11","201705","25","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.986","18,277","6","201705","25","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,527","9","201705","25","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,277","15","201705","25","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.986","18,277","13","201705","25","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.986","18,527","9","201705","25","분"
"강원도 강릉시 입암동","545-2","입암동 강변 코아루 오투리움","59.979","18,527","13","201705","26","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.45","10,230","11","201705","26","분"
"강원도 강릉시 주문진읍 주문리","329-19","강릉 주문진 풍림아이원 하버뷰","59.76","17,790","10","201705","29","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,042","6","201705","1","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,692","18","201705","1","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,882","12","201705","2","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","17,992","20","201705","5","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.95","17,991","10","201705","5","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,292","20","201705","6","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.98","18,042","7","201705","8","분"
"강원도 강릉시 홍제동","1044","강릉유천 A-2블록 공공분양","59.78","17,932","11","201705","8","분"
