"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190201 ~ 20190228"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전체"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명"
"강원도 강릉시 견소동","202","0202","0000","송정한신","84.93","201902","25","14,700","7","1997","경강로2539번길 8"
"강원도 강릉시 견소동","202","0202","0000","송정한신","59.8","201902","27","12,100","9","1997","경강로2539번길 8"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","135.1008","201902","13","35,000","2","2009","화부산로111번길 24"
"강원도 강릉시 교동","1983","1983","0000","강릉교동롯데캐슬2단지","118.0686","201902","21","33,200","12","2009","화부산로111번길 24"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201902","12","15,500","12","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","59.89","201902","19","16,000","5","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","49.85","201902","21","12,900","6","1999","가작로 78"
"강원도 강릉시 교동","1750","1750","0000","교동1주공","84.84","201902","25","18,000","15","1999","가작로 78"
"강원도 강릉시 교동","1767","1767","0000","교동2현대","99.88","201902","26","23,800","1","1999","교동광장로 138-15"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.86","201902","25","17,300","12","2002","교동광장로 138-12"
"강원도 강릉시 교동","1766","1766","0000","교동3주공","59.86","201902","28","17,550","10","2002","교동광장로 138-12"
"강원도 강릉시 교동","834","0834","0000","덕진","40.86","201902","13","6,300","3","1988","옛강일길 28"
"강원도 강릉시 교동","834","0834","0000","덕진","40.86","201902","27","4,450","1","1988","옛강일길 28"
"강원도 강릉시 교동","1429-1","1429","0001","민락","54.81","201902","19","9,200","4","1985","하슬라로10번길 7"
"강원도 강릉시 교동","1780","1780","0000","부영3차","84.93","201902","14","20,000","5","2001","하슬라로 124"
"강원도 강릉시 교동","1780","1780","0000","부영3차","84.93","201902","25","19,000","3","2001","하슬라로 124"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","201902","7","20,000","6","2001","교동광장로 163"
"강원도 강릉시 교동","1762","1762","0000","부영5","84.93","201902","27","20,600","2","2001","교동광장로 163"
"강원도 강릉시 교동","1775","1775","0000","부영6","59.987","201902","12","16,000","12","2003","정원로 53-9"
"강원도 강릉시 교동","317-1","0317","0001","유화그린맨션","84.99","201902","8","14,000","11","1991","가작로 170"
"강원도 강릉시 교동","317-1","0317","0001","유화그린맨션","84.99","201902","10","11,000","2","1991","가작로 170"
"강원도 강릉시 교동","780","0780","0000","제일","65.495","201902","12","4,600","5","1981","화부산로117번길 7"
"강원도 강릉시 교동","46-1","0046","0001","한신","84.98","201902","20","14,000","7","1997","명륜로 95-7"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","122.74","201902","11","28,200","14","1999","원대로128번길 14"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","99.96","201902","12","26,500","15","1999","원대로128번길 14"
"강원도 강릉시 교동","1759","1759","0000","현대하이빌","99.96","201902","23","26,000","14","1999","원대로128번길 14"
"강원도 강릉시 남문동","183-2","0183","0002","삼익그린맨션","127.311","201902","23","18,700","12","1992","홍제로 7-17"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","201902","14","3,300","3","1988","관대길 63"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","201902","14","3,300","2","1988","관대길 63"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","201902","14","3,300","3","1988","관대길 63"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","201902","15","3,800","2","1988","관대길 63"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","201902","16","3,300","2","1988","관대길 63"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","201902","20","4,470","2","1988","관대길 63"
"강원도 강릉시 내곡동","616","0616","0000","강부2","41.18","201902","21","4,700","5","1988","관대길 63"
"강원도 강릉시 내곡동","616","0616","0000","강부2","24.795","201902","25","3,230","4","1988","관대길 63"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","58.83","201902","13","12,500","5","1993","남부로125번길 37"
"강원도 강릉시 내곡동","127","0127","0000","남산삼익","84.48","201902","19","11,450","5","1993","남부로125번길 37"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","84.99","201902","13","17,200","9","1998","범일로 645"
"강원도 강릉시 내곡동","469","0469","0000","내곡동현대","59.84","201902","24","12,100","9","1998","범일로 645"
"강원도 강릉시 내곡동","623","0623","0000","내곡주공","46.68","201902","13","4,800","5","1989","관대길16번길 6"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","84.95","201902","8","17,000","13","1997","강변로 114"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","84.95","201902","9","15,000","4","1997","강변로 114"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","84.95","201902","21","16,000","17","1997","강변로 114"
"강원도 강릉시 내곡동","476","0476","0000","내곡한라","59.97","201902","26","13,200","14","1997","강변로 114"
"강원도 강릉시 내곡동","136","0136","0000","삼익타워맨션","84.86","201902","18","8,750","1","1993","남산초교길 65"
"강원도 강릉시 내곡동","756","0756","0000","석미모닝파크","84.98","201902","23","14,500","2","2008","남산초교길11번길 12-5"
"강원도 강릉시 노암동","835","0835","0000","노암2주공","49.22","201902","2","5,800","3","1984","노가니남길 25"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","59.994","201902","7","11,400","1","2000","남부로125번길 7"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","59.994","201902","13","10,800","6","2000","남부로125번길 7"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","59.994","201902","14","9,900","9","2000","남부로125번길 7"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","74.64","201902","19","12,500","8","2000","남부로125번길 7"
"강원도 강릉시 노암동","605","0605","0000","노암3한라","59.994","201902","27","10,000","12","2000","남부로125번길 7"
"강원도 강릉시 노암동","610","0610","0000","노암남산현대","59.84","201902","2","10,500","10","1998","남부로125번길 11"
"강원도 강릉시 노암동","610","0610","0000","노암남산현대","59.84","201902","26","11,100","8","1998","남부로125번길 11"
"강원도 강릉시 노암동","390","0390","0000","노암한라","84.99","201902","12","12,000","4","1994","노암길42번길 28"
"강원도 강릉시 노암동","390","0390","0000","노암한라","84.99","201902","20","12,000","10","1994","노암길42번길 28"
"강원도 강릉시 노암동","390","0390","0000","노암한라","84.99","201902","28","12,650","8","1994","노암길42번길 28"
"강원도 강릉시 노암동","711","0711","0000","신화","84.954","201902","16","14,500","4","1998","강변로 270"
"강원도 강릉시 노암동","844","0844","0000","양우내안애","114.6085","201902","2","20,500","3","2009","강변로 328-8"
"강원도 강릉시 노암동","844","0844","0000","양우내안애","59.6927","201902","11","15,300","10","2009","강변로 328-8"
"강원도 강릉시 노암동","844","0844","0000","양우내안애","84.4413","201902","15","20,700","5","2009","강변로 328-8"
